time,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.000000,-0.172000,0.000000,-0.172000,0.000000
0.002000,-0.171623,0.000151,-0.171623,0.000151
0.004000,-0.171246,0.000302,-0.171246,0.000302
0.006000,-0.170869,0.000452,-0.170869,0.000452
0.008000,-0.170492,0.000603,-0.170492,0.000603
0.010000,-0.170115,0.000754,-0.170115,0.000754
0.012000,-0.169738,0.000905,-0.169738,0.000905
0.014000,-0.169361,0.001056,-0.169361,0.001056
0.016000,-0.168984,0.001206,-0.168984,0.001206
0.018000,-0.168607,0.001357,-0.168607,0.001357
0.020000,-0.168230,0.001508,-0.168230,0.001508
0.022000,-0.167854,0.001659,-0.167854,0.001659
0.024000,-0.167477,0.001809,-0.167477,0.001809
0.026000,-0.167100,0.001960,-0.167100,0.001960
0.028000,-0.166723,0.002111,-0.166723,0.002111
0.030000,-0.166346,0.002262,-0.166346,0.002262
0.032000,-0.165970,0.002413,-0.165970,0.002413
0.034000,-0.165593,0.002563,-0.165593,0.002563
0.036000,-0.165216,0.002714,-0.165216,0.002714
0.038000,-0.164840,0.002865,-0.164840,0.002865
0.040000,-0.164463,0.003016,-0.164463,0.003016
0.042000,-0.164087,0.003166,-0.164087,0.003166
0.044000,-0.163710,0.003317,-0.163710,0.003317
0.046000,-0.163334,0.003468,-0.163334,0.003468
0.048000,-0.162958,0.003619,-0.162958,0.003619
0.050000,-0.162581,0.003769,-0.162581,0.003769
0.052000,-0.162205,0.003920,-0.162205,0.003920
0.054000,-0.161829,0.004071,-0.161829,0.004071
0.056000,-0.161453,0.004221,-0.161453,0.004221
0.058000,-0.161077,0.004372,-0.161077,0.004372
0.060000,-0.160701,0.004523,-0.160701,0.004523
0.062000,-0.160325,0.004674,-0.160325,0.004674
0.064000,-0.159949,0.004824,-0.159949,0.004824
0.066000,-0.159574,0.004975,-0.159574,0.004975
0.068000,-0.159198,0.005126,-0.159198,0.005126
0.070000,-0.158822,0.005276,-0.158822,0.005276
0.072000,-0.158447,0.005427,-0.158447,0.005427
0.074000,-0.158071,0.005577,-0.158071,0.005577
0.076000,-0.157696,0.005728,-0.157696,0.005728
0.078000,-0.157321,0.005879,-0.157321,0.005879
0.080000,-0.156946,0.006029,-0.156946,0.006029
0.082000,-0.156571,0.006180,-0.156571,0.006180
0.084000,-0.156196,0.006331,-0.156196,0.006331
0.086000,-0.155821,0.006481,-0.155821,0.006481
0.088000,-0.155446,0.006632,-0.155446,0.006632
0.090000,-0.155072,0.006782,-0.155072,0.006782
0.092000,-0.154697,0.006933,-0.154697,0.006933
0.094000,-0.154323,0.007083,-0.154323,0.007083
0.096000,-0.153948,0.007234,-0.153948,0.007234
0.098000,-0.153574,0.007384,-0.153574,0.007384
0.100000,-0.153200,0.007535,-0.153200,0.007535
0.102000,-0.152826,0.007685,-0.152826,0.007685
0.104000,-0.152452,0.007836,-0.152452,0.007836
0.106000,-0.152079,0.007986,-0.152079,0.007986
0.108000,-0.151705,0.008137,-0.151705,0.008137
0.110000,-0.151331,0.008287,-0.151331,0.008287
0.112000,-0.150958,0.008438,-0.150958,0.008438
0.114000,-0.150585,0.008588,-0.150585,0.008588
0.116000,-0.150212,0.008738,-0.150212,0.008738
0.118000,-0.149839,0.008889,-0.149839,0.008889
0.120000,-0.149466,0.009039,-0.149466,0.009039
0.122000,-0.149094,0.009190,-0.149094,0.009190
0.124000,-0.148721,0.009340,-0.148721,0.009340
0.126000,-0.148349,0.009490,-0.148349,0.009490
0.128000,-0.147976,0.009641,-0.147976,0.009641
0.130000,-0.147604,0.009791,-0.147604,0.009791
0.132000,-0.147233,0.009941,-0.147233,0.009941
0.134000,-0.146861,0.010091,-0.146861,0.010091
0.136000,-0.146489,0.010242,-0.146489,0.010242
0.138000,-0.146118,0.010392,-0.146118,0.010392
0.140000,-0.145747,0.010542,-0.145747,0.010542
0.142000,-0.145375,0.010692,-0.145375,0.010692
0.144000,-0.145005,0.010843,-0.145005,0.010843
0.146000,-0.144634,0.010993,-0.144634,0.010993
0.148000,-0.144263,0.011143,-0.144263,0.011143
0.150000,-0.143893,0.011293,-0.143893,0.011293
0.152000,-0.143523,0.011443,-0.143523,0.011443
0.154000,-0.143153,0.011593,-0.143153,0.011593
0.156000,-0.142783,0.011743,-0.142783,0.011743
0.158000,-0.142413,0.011893,-0.142413,0.011893
0.160000,-0.142044,0.012043,-0.142044,0.012043
0.162000,-0.141674,0.012193,-0.141674,0.012193
0.164000,-0.141305,0.012343,-0.141305,0.012343
0.166000,-0.140936,0.012493,-0.140936,0.012493
0.168000,-0.140567,0.012643,-0.140567,0.012643
0.170000,-0.140199,0.012793,-0.140199,0.012793
0.172000,-0.139831,0.012943,-0.139831,0.012943
0.174000,-0.139462,0.013093,-0.139462,0.013093
0.176000,-0.139095,0.013243,-0.139095,0.013243
0.178000,-0.138727,0.013393,-0.138727,0.013393
0.180000,-0.138359,0.013543,-0.138359,0.013543
0.182000,-0.137992,0.013693,-0.137992,0.013693
0.184000,-0.137625,0.013842,-0.137625,0.013842
0.186000,-0.137258,0.013992,-0.137258,0.013992
0.188000,-0.136892,0.014142,-0.136892,0.014142
0.190000,-0.136525,0.014292,-0.136525,0.014292
0.192000,-0.136159,0.014441,-0.136159,0.014441
0.194000,-0.135793,0.014591,-0.135793,0.014591
0.196000,-0.135427,0.014741,-0.135427,0.014741
0.198000,-0.135062,0.014890,-0.135062,0.014890
0.200000,-0.134697,0.015040,-0.134697,0.015040
0.202000,-0.134331,0.015190,-0.134331,0.015190
0.204000,-0.133967,0.015339,-0.133967,0.015339
0.206000,-0.133602,0.015489,-0.133602,0.015489
0.208000,-0.133238,0.015638,-0.133238,0.015638
0.210000,-0.132874,0.015788,-0.132874,0.015788
0.212000,-0.132510,0.015937,-0.132510,0.015937
0.214000,-0.132146,0.016087,-0.132146,0.016087
0.216000,-0.131783,0.016236,-0.131783,0.016236
0.218000,-0.131420,0.016385,-0.131420,0.016385
0.220000,-0.131057,0.016535,-0.131057,0.016535
0.222000,-0.130695,0.016684,-0.130695,0.016684
0.224000,-0.130332,0.016833,-0.130332,0.016833
0.226000,-0.129970,0.016983,-0.129970,0.016983
0.228000,-0.129609,0.017132,-0.129609,0.017132
0.230000,-0.129247,0.017281,-0.129247,0.017281
0.232000,-0.128886,0.017431,-0.128886,0.017431
0.234000,-0.128525,0.017580,-0.128525,0.017580
0.236000,-0.128164,0.017729,-0.128164,0.017729
0.238000,-0.127804,0.017878,-0.127804,0.017878
0.240000,-0.127444,0.018027,-0.127444,0.018027
0.242000,-0.127084,0.018176,-0.127084,0.018176
0.244000,-0.126724,0.018325,-0.126724,0.018325
0.246000,-0.126365,0.018474,-0.126365,0.018474
0.248000,-0.126006,0.018623,-0.126006,0.018623
0.250000,-0.125647,0.018772,-0.125647,0.018772
0.252000,-0.125289,0.018921,-0.125289,0.018921
0.254000,-0.124931,0.019070,-0.124931,0.019070
0.256000,-0.124573,0.019219,-0.124573,0.019219
0.258000,-0.124216,0.019368,-0.124216,0.019368
0.260000,-0.123858,0.019516,-0.123858,0.019516
0.262000,-0.123502,0.019665,-0.123502,0.019665
0.264000,-0.123145,0.019814,-0.123145,0.019814
0.266000,-0.122789,0.019963,-0.122789,0.019963
0.268000,-0.122433,0.020111,-0.122433,0.020111
