time,l_arm_shoulder_pitch_joint,l_arm_shoulder_roll_joint,l_arm_shoulder_yaw_joint,l_arm_elbow_joint,r_arm_shoulder_pitch_joint,r_arm_shoulder_roll_joint,r_arm_shoulder_yaw_joint,r_arm_elbow_joint
0.000000,0.000000,0.261800,0.000000,0.000000,0.000000,-0.261800,0.000000,0.000000
0.002000,0.002199,0.262051,0.000000,0.000001,0.000000,-0.261800,0.000000,0.000000
0.004000,0.004398,0.262303,0.000000,0.000004,0.000000,-0.261800,0.000000,0.000000
0.006000,0.006597,0.262554,0.000000,0.000009,0.000000,-0.261800,0.000000,0.000000
0.008000,0.008796,0.262805,0.000000,0.000016,0.000000,-0.261800,0.000000,0.000000
0.010000,0.010994,0.263057,0.000000,0.000025,0.000000,-0.261800,0.000000,0.000000
0.012000,0.013192,0.263308,0.000000,0.000036,0.000000,-0.261800,0.000000,0.000000
0.014000,0.015389,0.263559,0.000000,0.000048,0.000000,-0.261800,0.000000,0.000000
0.016000,0.017586,0.263810,0.000000,0.000063,0.000000,-0.261800,0.000000,0.000000
0.018000,0.019781,0.264062,0.000000,0.000080,0.000000,-0.261800,0.000000,0.000000
0.020000,0.021977,0.264313,0.000000,0.000099,0.000000,-0.261800,0.000000,0.000000
0.022000,0.024171,0.264564,0.000000,0.000119,0.000000,-0.261800,0.000000,0.000000
0.024000,0.026364,0.264815,0.000000,0.000142,0.000000,-0.261800,0.000000,0.000000
0.026000,0.028557,0.265066,0.000000,0.000167,0.000000,-0.261800,0.000000,0.000000
0.028000,0.030748,0.265317,0.000000,0.000193,0.000000,-0.261800,0.000000,0.000000
0.030000,0.032938,0.265569,0.000000,0.000222,0.000000,-0.261800,0.000000,0.000000
0.032000,0.035127,0.265820,0.000000,0.000253,0.000000,-0.261800,0.000000,0.000000
0.034000,0.037314,0.266071,0.000000,0.000285,0.000000,-0.261800,0.000000,0.000000
0.036000,0.039500,0.266321,0.000000,0.000320,0.000000,-0.261800,0.000000,0.000000
0.038000,0.041684,0.266572,0.000000,0.000356,0.000000,-0.261800,0.000000,0.000000
0.040000,0.043867,0.266823,0.000000,0.000395,0.000000,-0.261800,0.000000,0.000000
0.042000,0.046048,0.267074,0.000000,0.000435,0.000000,-0.261800,0.000000,0.000000
0.044000,0.048227,0.267325,0.000000,0.000477,0.000000,-0.261800,0.000000,0.000000
0.046000,0.050404,0.267576,0.000000,0.000522,0.000000,-0.261800,0.000000,0.000000
0.048000,0.052579,0.267826,0.000000,0.000568,0.000000,-0.261800,0.000000,0.000000
0.050000,0.054752,0.268077,0.000000,0.000617,0.000000,-0.261800,0.000000,0.000000
0.052000,0.056923,0.268327,0.000000,0.000667,0.000000,-0.261800,0.000000,0.000000
0.054000,0.059092,0.268578,0.000000,0.000719,0.000000,-0.261800,0.000000,0.000000
0.056000,0.061258,0.268828,0.000000,0.000773,0.000000,-0.261800,0.000000,0.000000
0.058000,0.063422,0.269078,0.000000,0.000829,0.000000,-0.261800,0.000000,0.000000
0.060000,0.065583,0.269329,0.000000,0.000888,0.000000,-0.261800,0.000000,0.000000
0.062000,0.067742,0.269579,0.000000,0.000948,0.000000,-0.261800,0.000000,0.000000
0.064000,0.069898,0.269829,0.000000,0.001010,0.000000,-0.261800,0.000000,0.000000
0.066000,0.072052,0.270079,0.000000,0.001074,0.000000,-0.261800,0.000000,0.000000
0.068000,0.074202,0.270329,0.000000,0.001140,0.000000,-0.261800,0.000000,0.000000
0.070000,0.076350,0.270579,0.000000,0.001208,0.000000,-0.261800,0.000000,0.000000
0.072000,0.078495,0.270829,0.000000,0.001278,0.000000,-0.261800,0.000000,0.000000
0.074000,0.080636,0.271078,0.000000,0.001350,0.000000,-0.261800,0.000000,0.000000
0.076000,0.082775,0.271328,0.000000,0.001423,0.000000,-0.261800,0.000000,0.000000
0.078000,0.084910,0.271577,0.000000,0.001499,0.000000,-0.261800,0.000000,0.000000
0.080000,0.087041,0.271827,0.000000,0.001577,0.000000,-0.261800,0.000000,0.000000
0.082000,0.089170,0.272076,0.000000,0.001657,0.000000,-0.261800,0.000000,0.000000
0.084000,0.091295,0.272325,0.000000,0.001738,0.000000,-0.261800,0.000000,0.000000
0.086000,0.093416,0.272574,0.000000,0.001822,0.000000,-0.261800,0.000000,0.000000
0.088000,0.095533,0.272823,0.000000,0.001908,0.000000,-0.261800,0.000000,0.000000
0.090000,0.097647,0.273072,0.000000,0.001995,0.000000,-0.261800,0.000000,0.000000
0.092000,0.099757,0.273321,0.000000,0.002085,0.000000,-0.261800,0.000000,0.000000
0.094000,0.101863,0.273570,0.000000,0.002176,0.000000,-0.261800,0.000000,0.000000
0.096000,0.103965,0.273818,0.000000,0.002270,0.000000,-0.261800,0.000000,0.000000
0.098000,0.106062,0.274066,0.000000,0.002365,0.000000,-0.261800,0.000000,0.000000
0.100000,0.108156,0.274315,0.000000,0.002462,0.000000,-0.261800,0.000000,0.000000
0.102000,0.110245,0.274563,0.000000,0.002562,0.000000,-0.261800,0.000000,0.000000
0.104000,0.112330,0.274811,0.000000,0.002663,0.000000,-0.261800,0.000000,0.000000
0.106000,0.114411,0.275059,0.000000,0.002766,0.000000,-0.261800,0.000000,0.000000
0.108000,0.116487,0.275307,0.000000,0.002871,0.000000,-0.261800,0.000000,0.000000
0.110000,0.118558,0.275554,0.000000,0.002978,0.000000,-0.261800,0.000000,0.000000
0.112000,0.120625,0.275802,0.000000,0.003087,0.000000,-0.261800,0.000000,0.000000
0.114000,0.122687,0.276049,0.000000,0.003198,0.000000,-0.261800,0.000000,0.000000
0.116000,0.124744,0.276296,0.000000,0.003311,0.000000,-0.261800,0.000000,0.000000
0.118000,0.126796,0.276544,0.000000,0.003426,0.000000,-0.261800,0.000000,0.000000
0.120000,0.128844,0.276791,0.000000,0.003543,0.000000,-0.261800,0.000000,0.000000
0.122000,0.130886,0.277037,0.000000,0.003661,0.000000,-0.261800,0.000000,0.000000
0.124000,0.132923,0.277284,0.000000,0.003782,0.000000,-0.261800,0.000000,0.000000
0.126000,0.134954,0.277530,0.000000,0.003904,0.000000,-0.261800,0.000000,0.000000
0.128000,0.136981,0.277777,0.000000,0.004029,0.000000,-0.261800,0.000000,0.000000
0.130000,0.139002,0.278023,0.000000,0.004155,0.000000,-0.261800,0.000000,0.000000
0.132000,0.141017,0.278269,0.000000,0.004284,0.000000,-0.261800,0.000000,0.000000
0.134000,0.143027,0.278515,0.000000,0.004414,0.000000,-0.261800,0.000000,0.000000
0.136000,0.145031,0.278761,0.000000,0.004546,0.000000,-0.261800,0.000000,0.000000
0.138000,0.147030,0.279006,0.000000,0.004681,0.000000,-0.261800,0.000000,0.000000
0.140000,0.149023,0.279251,0.000000,0.004817,0.000000,-0.261800,0.000000,0.000000
0.142000,0.151010,0.279497,0.000000,0.004955,0.000000,-0.261800,0.000000,0.000000
0.144000,0.152991,0.279742,0.000000,0.005095,0.000000,-0.261800,0.000000,0.000000
0.146000,0.154965,0.279986,0.000000,0.005237,0.000000,-0.261800,0.000000,0.000000
0.148000,0.156934,0.280231,0.000000,0.005380,0.000000,-0.261800,0.000000,0.000000
0.150000,0.158897,0.280476,0.000000,0.005526,0.000000,-0.261800,0.000000,0.000000
0.152000,0.160853,0.280720,0.000000,0.005674,0.000000,-0.261800,0.000000,0.000000
0.154000,0.162803,0.280964,0.000000,0.005823,0.000000,-0.261800,0.000000,0.000000
0.156000,0.164746,0.281208,0.000000,0.005975,0.000000,-0.261800,0.000000,0.000000
0.158000,0.166683,0.281452,0.000000,0.006128,0.000000,-0.261800,0.000000,0.000000
0.160000,0.168614,0.281695,0.000000,0.006283,0.000000,-0.261800,0.000000,0.000000
0.162000,0.170538,0.281939,0.000000,0.006441,0.000000,-0.261800,0.000000,0.000000
0.164000,0.172455,0.282182,0.000000,0.006600,0.000000,-0.261800,0.000000,0.000000
0.166000,0.174365,0.282425,0.000000,0.006761,0.000000,-0.261800,0.000000,0.000000
0.168000,0.176268,0.282667,0.000000,0.006924,0.000000,-0.261800,0.000000,0.000000
0.170000,0.178164,0.282910,0.000000,0.007089,0.000000,-0.261800,0.000000,0.000000
0.172000,0.180054,0.283152,0.000000,0.007255,0.000000,-0.261800,0.000000,0.000000
0.174000,0.181936,0.283394,0.000000,0.007424,0.000000,-0.261800,0.000000,0.000000
0.176000,0.183811,0.283636,0.000000,0.007594,0.000000,-0.261800,0.000000,0.000000
0.178000,0.185679,0.283878,0.000000,0.007767,0.000000,-0.261800,0.000000,0.000000
0.180000,0.187539,0.284119,0.000000,0.007941,0.000000,-0.261800,0.000000,0.000000
0.182000,0.189392,0.284361,0.000000,0.008118,0.000000,-0.261800,0.000000,0.000000
0.184000,0.191238,0.284602,0.000000,0.008296,0.000000,-0.261800,0.000000,0.000000
0.186000,0.193076,0.284842,0.000000,0.008476,0.000000,-0.261800,0.000000,0.000000
0.188000,0.194906,0.285083,0.000000,0.008658,0.000000,-0.261800,0.000000,0.000000
0.190000,0.196729,0.285323,0.000000,0.008841,0.000000,-0.261800,0.000000,0.000000
0.192000,0.198544,0.285563,0.000000,0.009027,0.000000,-0.261800,0.000000,0.000000
0.194000,0.200351,0.285803,0.000000,0.009215,0.000000,-0.261800,0.000000,0.000000
