time,waist_roll_joint,waist_pitch_joint
0.000000,0.000000,0.000000
0.002000,0.000219,0.000439
0.004000,0.000439,0.000877
0.006000,0.000658,0.001316
0.008000,0.000877,0.001755
0.010000,0.001097,0.002193
0.012000,0.001316,0.002632
0.014000,0.001535,0.003070
0.016000,0.001755,0.003509
0.018000,0.001974,0.003948
0.020000,0.002193,0.004386
0.022000,0.002412,0.004825
0.024000,0.002632,0.005263
0.026000,0.002851,0.005701
0.028000,0.003070,0.006140
0.030000,0.003290,0.006578
0.032000,0.003509,0.007016
0.034000,0.003728,0.007455
0.036000,0.003948,0.007893
0.038000,0.004167,0.008331
0.040000,0.004386,0.008769
0.042000,0.004605,0.009207
0.044000,0.004825,0.009645
0.046000,0.005044,0.010083
0.048000,0.005263,0.010521
0.050000,0.005482,0.010959
0.052000,0.005701,0.011397
0.054000,0.005921,0.011834
0.056000,0.006140,0.012272
0.058000,0.006359,0.012710
0.060000,0.006578,0.013147
0.062000,0.006797,0.013584
0.064000,0.007016,0.014022
0.066000,0.007236,0.014459
0.068000,0.007455,0.014896
0.070000,0.007674,0.015333
0.072000,0.007893,0.015770
0.074000,0.008112,0.016207
0.076000,0.008331,0.016643
0.078000,0.008550,0.017080
0.080000,0.008769,0.017516
0.082000,0.008988,0.017953
0.084000,0.009207,0.018389
0.086000,0.009426,0.018825
0.088000,0.009645,0.019261
0.090000,0.009864,0.019697
0.092000,0.010083,0.020133
0.094000,0.010302,0.020569
0.096000,0.010521,0.021004
0.098000,0.010740,0.021440
0.100000,0.010959,0.021875
0.102000,0.011178,0.022310
0.104000,0.011397,0.022745
0.106000,0.011616,0.023180
0.108000,0.011834,0.023614
0.110000,0.012053,0.024049
0.112000,0.012272,0.024483
0.114000,0.012491,0.024918
0.116000,0.012710,0.025352
0.118000,0.012928,0.025786
0.120000,0.013147,0.026219
0.122000,0.013366,0.026653
0.124000,0.013584,0.027086
0.126000,0.013803,0.027520
0.128000,0.014022,0.027953
0.130000,0.014240,0.028386
0.132000,0.014459,0.028818
0.134000,0.014677,0.029251
0.136000,0.014896,0.029683
0.138000,0.015114,0.030115
0.140000,0.015333,0.030547
0.142000,0.015551,0.030979
0.144000,0.015770,0.031411
0.146000,0.015988,0.031842
0.148000,0.016207,0.032273
0.150000,0.016425,0.032704
0.152000,0.016643,0.033135
0.154000,0.016862,0.033566
0.156000,0.017080,0.033996
0.158000,0.017298,0.034426
0.160000,0.017516,0.034856
0.162000,0.017735,0.035286
0.164000,0.017953,0.035715
0.166000,0.018171,0.036144
0.168000,0.018389,0.036573
0.170000,0.018607,0.037002
0.172000,0.018825,0.037431
0.174000,0.019043,0.037859
0.176000,0.019261,0.038287
0.178000,0.019479,0.038715
0.180000,0.019697,0.039143
0.182000,0.019915,0.039570
0.184000,0.020133,0.039997
0.186000,0.020351,0.040424
0.188000,0.020569,0.040851
0.190000,0.020786,0.041277
0.192000,0.021004,0.041703
0.194000,0.021222,0.042129
0.196000,0.021440,0.042554
0.198000,0.021657,0.042980
0.200000,0.021875,0.043405
0.202000,0.022092,0.043829
0.204000,0.022310,0.044254
0.206000,0.022527,0.044678
0.208000,0.022745,0.045102
0.210000,0.022962,0.045525
0.212000,0.023180,0.045949
0.214000,0.023397,0.046372
0.216000,0.023614,0.046795
0.218000,0.023832,0.047217
0.220000,0.024049,0.047639
0.222000,0.024266,0.048061
0.224000,0.024483,0.048482
0.226000,0.024700,0.048904
0.228000,0.024918,0.049325
0.230000,0.025135,0.049745
0.232000,0.025352,0.050166
0.234000,0.025569,0.050586
0.236000,0.025786,0.051005
0.238000,0.026002,0.051425
0.240000,0.026219,0.051844
0.242000,0.026436,0.052262
0.244000,0.026653,0.052681
0.246000,0.026870,0.053099
0.248000,0.027086,0.053516
0.250000,0.027303,0.053934
0.252000,0.027520,0.054351
0.254000,0.027736,0.054767
0.256000,0.027953,0.055184
0.258000,0.028169,0.055600
0.260000,0.028386,0.056015
0.262000,0.028602,0.056430
0.264000,0.028818,0.056845
0.266000,0.029035,0.057260
0.268000,0.029251,0.057674
0.270000,0.029467,0.058088
0.272000,0.029683,0.058501
0.274000,0.029899,0.058915
0.276000,0.030115,0.059327
0.278000,0.030331,0.059740
0.280000,0.030547,0.060152
0.282000,0.030763,0.060563
0.284000,0.030979,0.060974
0.286000,0.031195,0.061385
0.288000,0.031411,0.061796
0.290000,0.031626,0.062206
0.292000,0.031842,0.062615
0.294000,0.032058,0.063025
0.296000,0.032273,0.063433
0.298000,0.032489,0.063842
0.300000,0.032704,0.064250
0.302000,0.032920,0.064657
0.304000,0.033135,0.065065
0.306000,0.033350,0.065472
0.308000,0.033566,0.065878
0.310000,0.033781,0.066284
0.312000,0.033996,0.066690
0.314000,0.034211,0.067095
0.316000,0.034426,0.067499
0.318000,0.034641,0.067904
0.320000,0.034856,0.068308
0.322000,0.035071,0.068711
0.324000,0.035286,0.069114
0.326000,0.035500,0.069517
0.328000,0.035715,0.069919
0.330000,0.035930,0.070320
0.332000,0.036144,0.070722
0.334000,0.036359,0.071122
0.336000,0.036573,0.071523
0.338000,0.036788,0.071923
0.340000,0.037002,0.072322
0.342000,0.037217,0.072721
0.344000,0.037431,0.073120
0.346000,0.037645,0.073518
0.348000,0.037859,0.073915
0.350000,0.038073,0.074313
0.352000,0.038287,0.074709
0.354000,0.038501,0.075105
0.356000,0.038715,0.075501
0.358000,0.038929,0.075896
0.360000,0.039143,0.076291
0.362000,0.039356,0.076685
0.364000,0.039570,0.077079
0.366000,0.039784,0.077472
0.368000,0.039997,0.077865
0.370000,0.040211,0.078258
0.372000,0.040424,0.078649
0.374000,0.040637,0.079041
0.376000,0.040851,0.079432
0.378000,0.041064,0.079822
0.380000,0.041277,0.080212
0.382000,0.041490,0.080601
0.384000,0.041703,0.080990
0.386000,0.041916,0.081378
0.388000,0.042129,0.081766
0.390000,0.042342,0.082153
0.392000,0.042554,0.082540
0.394000,0.042767,0.082926
